g1.t1,"M00289,M00295"
g2.t1,"M00289,M00295"
g4.t1,"M00289,M00295"
g5.t1,"M00027"
g11.t1,"M00686"
g39.t1,"M00016,M00017,M00018,M00033,M00525,M00526,M00527"
g40.t1,"M00016,M00017,M00018,M00033,M00525,M00526,M00527"
g83.t1,"M00686"
g99.t1,"M00359,M00360"
g102.t1,"M00009,M00010,M00173,M00740"
g154.t1,"M00021"
g157.t1,"M00180"
g159.t1,"M00180"
g160.t1,"M00180"
g161.t1,"M00180"
g162.t1,"M00180"
g163.t1,"M00180"
g169.t1,"M00097"
g175.t1,"M00065"
g186.t1,"M00035"
g188.t1,"M00035"
g195.t1,"M00177"
g207.t1,"M00140,M00377"
g247.t1,"M00083,M00572"
g254.t1,"M00014"
g260.t1,"M00113"
g261.t1,"M00113"
g264.t1,"M00113"
g265.t1,"M00113"
g379.t1,"M00082"
g438.t1,"M00391,M00692"
g446.t1,"M00393"
g449.t1,"M00158"
g458.t1,"M00009,M00011"
g460.t1,"M00039"
g462.t1,"M00171,M00532"
g487.t1,"M00177,M00179"
g488.t1,"M00177,M00179"
g489.t1,"M00101"
g515.t1,"M00051"
g516.t1,"M00359,M00360"
g519.t1,"M00178"
g520.t1,"M00352"
g522.t1,"M00341"
g533.t1,"M00686"
g544.t1,"M00686"
g581.t1,"M00686"
g588.t1,"M00686"
g591.t1,"M00686"
g600.t1,"M00686"
g616.t1,"M00341"
g618.t1,"M00341"
g635.t1,"M00686"
g662.t1,"M00109,M00110"
g668.t1,"M00109,M00110"
g669.t1,"M00109,M00110"
g670.t1,"M00109,M00110"
g676.t1,"M00109,M00110"
g678.t1,"M00109,M00110"
g683.t1,"M00145"
g698.t1,"M00109,M00110"
g701.t1,"M00109,M00110"
g702.t1,"M00109,M00110"
g712.t1,"M00109,M00110"
g718.t1,"M00109,M00110"
g719.t1,"M00352"
g728.t1,"M00109,M00110"
g739.t1,"M00109,M00110"
g741.t1,"M00109,M00110"
g748.t1,"M00109,M00110"
g749.t1,"M00109,M00110"
g750.t1,"M00682"
g796.t1,"M00289,M00295"
g798.t1,"M00289,M00295"
g799.t1,"M00027"
g805.t1,"M00686"
g833.t1,"M00016,M00017,M00018,M00033,M00525,M00526,M00527"
g834.t1,"M00016,M00017,M00018,M00033,M00525,M00526,M00527"
g879.t1,"M00686"
g882.t1,"M00686"
g901.t1,"M00359,M00360"
g906.t1,"M00009,M00010,M00173,M00740"
g977.t1,"M00021"
g980.t1,"M00180"
g982.t1,"M00180"
g984.t1,"M00180"
g985.t1,"M00180"
g986.t1,"M00180"
g987.t1,"M00180"
g988.t1,"M00180"
g989.t1,"M00180"
g990.t1,"M00180"
g996.t1,"M00097"
g1002.t1,"M00065"
g1011.t1,"M00035"
g1020.t1,"M00177"
g1033.t1,"M00140,M00377"
g1052.t1,"M00083,M00572"
g1069.t1,"M00113"
g1073.t1,"M00113"
g1074.t1,"M00113"
g1164.t1,"M00082"
g1221.t1,"M00391,M00692"
g1229.t1,"M00393"
g1232.t1,"M00158"
g1241.t1,"M00009,M00011"
g1243.t1,"M00039"
g1246.t1,"M00171,M00532"
g1269.t1,"M00177,M00179"
g1270.t1,"M00177,M00179"
g1272.t1,"M00101"
g1301.t1,"M00686"
g1338.t1,"M00051"
g1339.t1,"M00039"
g1341.t1,"M00359,M00360"
g1343.t1,"M00359,M00360"
g1348.t1,"M00178"
g1350.t1,"M00178"
g1351.t1,"M00352"
g1352.t1,"M00341"
g1406.t1,"M00686"
g1451.t1,"M00686"
g1516.t1,"M00686"
g1517.t1,"M00686"
g1522.t1,"M00686"
g1523.t1,"M00686"
g1528.t1,"M00686"
g1530.t1,"M00686"
g1537.t1,"M00686"
g1539.t1,"M00686"
g1544.t1,"M00686"
g1549.t1,"M00341"
g1552.t1,"M00341"
g1563.t1,"M00161"
g1564.t1,"M00686"
g1596.t1,"M00109,M00110"
g1602.t1,"M00109,M00110"
g1603.t1,"M00109,M00110"
g1604.t1,"M00109,M00110"
g1610.t1,"M00109,M00110"
g1612.t1,"M00109,M00110"
g1617.t1,"M00145"
g1632.t1,"M00109,M00110"
g1635.t1,"M00109,M00110"
g1636.t1,"M00109,M00110"
g1646.t1,"M00109,M00110"
g1651.t1,"M00109,M00110"
g1652.t1,"M00352"
g1661.t1,"M00109,M00110"
g1672.t1,"M00109,M00110"
g1674.t1,"M00109,M00110"
g1681.t1,"M00109,M00110"
g1682.t1,"M00109,M00110"
g1683.t1,"M00682"
g1733.t1,"M00039"
g1743.t1,"M00039"
g1796.t1,"M00405,M00406"
g1798.t1,"M00096"
g1807.t1,"M00384"
g1816.t1,"M00177,M00179"
g1830.t1,"M00177,M00179"
g1919.t1,"M00017"
g1923.t1,"M00372"
