g1.t1,"ko03030,ko03420,ko03430,map03030,map03420,map03430"
g2.t1,"ko03030,ko03420,ko03430,map03030,map03420,map03430"
g4.t1,"ko03030,ko03420,ko03430,map03030,map03420,map03430"
g5.t1,"ko00250,ko00410,ko00430,ko00650,ko01100,ko01110,ko01120,ko02024,ko04727,ko04940,map00250,map00410,map00430,map00650,map01100,map01110,map01120,map02024,map04727,map04940"
g11.t1,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164"
g14.t1,"ko00562,ko01100,ko04070,map00562,map01100,map04070"
g16.t1,"ko00510,ko01100,map00510,map01100"
g32.t1,"ko00500,ko01100,map00500,map01100"
g39.t1,"ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230"
g40.t1,"ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230"
g45.t1,"ko04016,ko04626,map04016,map04626"
g46.t1,"ko04016,ko04626,map04016,map04626"
g47.t1,"ko04016,ko04626,map04016,map04626"
g49.t1,"ko04016,ko04626,map04016,map04626"
g50.t1,"ko04016,ko04626,map04016,map04626"
g51.t1,"ko04016,ko04626,map04016,map04626"
g52.t1,"ko04712,map04712"
g53.t1,"ko04072,ko04144,ko04721,ko04961,ko05100,map04072,map04144,map04721,map04961,map05100"
g72.t1,"ko04626,map04626"
g73.t1,"ko00310,map00310"
g74.t1,"ko04062,ko04144,ko04520,ko04530,ko04666,ko04810,ko05100,ko05130,ko05131,ko05132,ko05231,map04062,map04144,map04520,map04530,map04666,map04810,map05100,map05130,map05131,map05132,map05231"
g76.t1,"ko00073,map00073"
g77.t1,"ko00073,map00073"
g83.t1,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164"
g84.t1,"ko04141,map04141"
g85.t1,"ko04075,map04075"
g93.t1,"ko00904,ko01110,map00904,map01110"
g94.t1,"ko00053,ko01100,map00053,map01100"
g96.t1,"ko04016,ko04626,map04016,map04626"
g97.t1,"ko04016,ko04626,map04016,map04626"
g99.t1,"ko00970,map00970"
g102.t1,"ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146"
g154.t1,"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230"
g155.t1,"ko00500,ko04120,map00500,map04120"
g156.t1,"ko04120,map04120"
g157.t1,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05168,ko05169,map00230,map00240,map01100,map03020,map05016,map05168,map05169"
g159.t1,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05168,ko05169,map00230,map00240,map01100,map03020,map05016,map05168,map05169"
g160.t1,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05168,ko05169,map00230,map00240,map01100,map03020,map05016,map05168,map05169"
g161.t1,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05168,ko05169,map00230,map00240,map01100,map03020,map05016,map05168,map05169"
g162.t1,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05168,ko05169,map00230,map00240,map01100,map03020,map05016,map05168,map05169"
